id,name,artist_id
1,Tales of the Crown,16
2,The Masquerade Ball,16
3,Grace,159
4,Behind Closed Doors,147
5,Day & Age,121
6,Sweet Fanny Adams,172
7,Spem In Alium,199
8,Night In The Ruts,152
9,Impurity,95
10,Concerto For Group and Orchestra,196
11,Doremi Fasol Latido,28
12,Pulse,130
13,Mirage,97
14,Permission To Land,41
15,Crimes of Passion,6
16,The Soundtrack from the film The Song Remains The Same,64
17,Greetings From Asbury Park N.J_,65
18,Nightflight,18
19,Doolittle,22
20,Pungent Effulgent,52
21,Only Revolutions,154
22,Rio Grande Mud,23
23,Diary Of A Madman,76
24,Warrior On The Edge Of Time,28
25,Mystica,16
26,The Collection Volume One,119
27,Sgt. Pepper's Lonely Hearts Club Band,181
28,On Every Street,134
29,Dreamboat Annie,39
30,Backstreet Symphony,147
31,Just Push Play,152
32,Valley Of The Damned,182
33,Lone Star,81
34,Demo,3
35,Firing On All Six,81
36,Tales from the Blue Cocoons,144
37,The Big Come Up,133
38,Little Queen,39
39,Tyr,36
40,Ted Nugent,27
41,The Dance,92
42,Aliens,113
43,Introduce Yourself,142
44,Keys To The World,138
45,Demon Days,149
46,Athens Andover,153
47,Greatest Hits,198
48,Master Of Reality,36
49,Selling England by the Pound,116
50,Paranoid,36
51,Crossroads,74
52,Pies-Pasties-and-Rock-n-Roll,102
53,Electricity,164
54,18 Singles,193
55,The Yellow Shark,140
56,Ride the Lightning,192
57,More Mayhem,34
58,Between The Walls,16
59,Razamanaz,13
60,Garden of eden,75
61,Sin After Sin [The Re-Masters],106
62,Thunder And Consolation,95
63,Winter Tour 74,130
64,Cultösaurus Erectus,114
65,Sigh No More,111
66,The Mask,31
67,Cat Scratch Fever,27
68,In The Court Of The Crimson King,131
69,Live Licks,56
70,Kill Bill,31
71,Fireball 25th Anniversary Edition,196
72,The Dreaming,91
73,The Most Of The Animals,69
74,Kev's Kristmas Album,21
75,Machine Head (1997 Remixes),196
76,Who Do We Think We Are Remastered Edition,196
77,Natty Dread,119
78,Night on Bald Mountain,141
79,Foxtrot,116
80,Strangeitude,52
81,Garbage,194
82,Argus,12
83,Happy to Meet Sorry to Part,113
84,Rockin-the-Arm-Live-EP,102
85,Curse of the Hidden Mirror,114
86,Obscured By Clouds,130
87,Magic,16
88,Shades Of Deep Purple,196
89,Lust For Life,174
90,For Those About To Rock (We Salute You),66
91,Astro-Creep,123
92,Made In Japan,196
93,Toys In The Attic,152
94,Born Again,36
95,Stir it Up - Vol 4,119
96,Carmina Burana,120
97,Wild Thing - The Greatest Hits,153
98,Le Roi Est Mort Vive Le Roi!,20
99,Sheer Heart Attack,171
100,Holy Diver,35
101,Bad Company,189
102,Piledriver,29
103,4,150
104,Champions Of Rock,114
105,I'm In The Mood,83
106,Peter Gabriel 3,33
107,Jack O The Green (Small World Big Band - Friends 3),183
108,Molten Gold- The Anthology,101
109,Vanilla Sky,122
110,Weapons Of Grass Destruction,25
111,Mob Rules,36
112,Showbusiness!,167
113,The Baddest Of George Thorogood & The Destroyers,15
114,Antenna,23
115,Joe Satriani,146
116,Diamonds Unlocked,16
117,Be Good To Yourself At Least Once A Day,68
118,Super Lungs,109
119,The King Of The Blues - The Blues Collection 2,145
120,Communiqué,134
121,Led Zeppelin IV,64
122,Naturally,151
123,El Camino,133
124,Our Time in Eden,11
125,MCMXC a.D,20
126,Lietenant Kije Symphony 5,70
127,Wave,190
128,Forty Licks,56
129,Making Movies,134
130,Deep Purple In Rock,196
131,The Cross Of Changes,20
132,Blue Öyster Cult,114
133,Sneakin' Suspicion,37
134,On the Level,29
135,One World,85
136,Quo & Blue For You,29
137,Pictures at an Exhibition,48
138,The Wall,130
139,The Ascent Of Mann,47
140,Mahogany Rush Live,1
141,So Far,14
142,Laughter With A Bang,9
143,Black Sabbath,36
144,A Trick Of The Tail,116
145,K,162
146,Bat Out Of Hell 3,143
147,Walking Into Clarksdale,42
148,Shadow Zone,16
149,The Screen Behind The Mirror,20
150,Made In Europe,196
151,Love Over Gold,134
152,Ummagumma,130
153,The Miracle,171
154,One Size Fits All,140
155,Peter Gabriel 1,33
156,The Wolf Is At Your Door,155
157,The Velvet Underground & Nico,67
158,The Snow Goose,97
159,Burning Boats,24
160,Quark Strangeness And Charm,28
161,Deep Purple,196
162,Stormbringer,196
163,Florence And the Machine - Ceremonials,53
164,In Search Of Space,28
165,Sex & Religion,61
166,One Bourbon One Scotch One Beer,15
167,Blurring The Edges,129
168,The Book Of Invasions,113
169,The Wicker Man,186
170,Get A Grip,152
171,Watch Out For The Bits,9
172,Hall Of The Mountain Grill,28
173,You Know Who You Are,3
174,The Southern Harmony And Musical Companion,191
175,Kings and Queens,16
176,Trying To Burn The Sun,2
177,Cornology,124
178,Rampant,13
179,X-M@$ [Explicit],161
180,Van Halen,84
181,The Collection,163
182,Live And Dangerous,71
183,An Diolaim - Folk Roots of One of Ireland's Groups,158
184,Reloaded,127
185,Money Ain't Everything,177
186,Rising,160
187,Gems,152
188,Food For The Soul,49
189,Just Dusty,30
190,Nine Lives,152
191,Never Turn Your Back On A Friend,18
192,Led Zeppelin II,64
193,Mercury High,80
194,Mappa Mundi,24
195,The Best of PROCOL HARUM Halcyon Daze,10
196,Matrix,31
197,In The Heat of the Night,6
198,Eruption Live In Europe,57
199,Led Zeppelin III,64
200,All Night Wrong,104
201,Sabbath Bloody Sabbath,36
202,Best Of The Doors,137
203,Phenomenon,115
204,Black Sabbath Vol.4,36
205,Under Cover,76
206,Breakfast in Denmark,177
207,Sonic Firestorm,182
208,Boom Boom,83
209,Purple Haze,90
210,Mahogany Rush IV,1
211,Revolutions Live in Wembley,154
212,The Kick Inside,91
213,Kill 'Em All,192
214,Disraeli Gears,126
215,Fire Of Unknown Origin,114
216,Innuendo Disk 2,171
217,Hell Is,178
218,Brothers In Arms,134
219,Motivation Radio,173
220,Lungs,53
221,Boogie Man - The Blues Collection 1,83
222,Voyage of the Acolyte,180
223,Surrealistic Pillow,55
224,Arial,91
225,Black Moon Pyramid,16
226,The Sensual World,91
227,Carolina County Ball,2
228,The Rise And Fall Of Ziggy Stardust and The Spiders From Mars,105
229,Eternal Prisoner,16
230,Rainbow,160
231,Irish Tour,7
232,The Very Best Of,92
233,Innuendo,171
234,Folkjokeopus,5
235,Apostrophe ('),140
236,The Number of the Beast,8
237,Narareth - Loud 'n' Proud,13
238,Greatest Hits,92
239,The Ultimate Experience,90
240,Demons And Wizards,82
241,Temporary Immortality,75
242,Never Never Land,195
243,Please Don't Touch!,180
244,Never Say Die,36
245,Dusty In Memphis,30
246,Don't Believe The Truth,46
247,Pictures At An Exhibition,141
248,Done With Mirrors,152
249,Led Zeppelin,64
250,No More Tears,76
251,Soul Shakeddown Party - Vol 3,119
252,Forbidden,36
253,The Fifth Element,31
254,Anyway The Wind Blows - The Anthology,151
255,Pictures At An Exhibition,112
256,Walkin' Man The Best of Seasick Steve,175
257,Alice's Restaurant,73
258,Wasting Light,93
259,Crash Course,156
260,Private Practice,37
261,Oceans of time,16
262,Izbrannoye,59
263,Recycler,23
264,Paris Texas,74
265,Agents Of Fortune,114
266,Astounding Sounds Amazing Music,28
267,Excellence De Luxe,90
268,Ray Of Light,103
269,Futurama,51
270,Child In Time 2,80
271,Heaven and Hell,36
272,Dehumanizer,36
273,Black Hole Star,144
274,The Red Shoes,91
275,Dragon Fly,77
276,Short Stories Tall Tales,113
277,Live and Unleashed,170
278,Tomorrow We'll Be Sober,72
279,Extreme II Pornograffitti,79
280,If You Want Blood You've Got It,66
281,1984,84
282,Second Coming,157
283,Afterswish,52
284,Growers of Mushrooms,17
285,The Good The Bad and The Ugly,108
286,Share The Land,58
287,Over-nite Sensation,140
288,A Saucerful Of Secrets,130
289,Push The Button,201
290,Bat Out Of Hell,143
291,Aria,168
292,Gold,26
293,Hype,94
294,The Crest,16
295,Changesbowie,105
296,Seventh Star,36
297,Cross Purposes,36
298,Champions Of Rock,13
299,Showbiz Kids,107
300,Uriah Heep Live,82
301,Mescalero,23
302,Mirrors,114
303,Commitments,19
304,RXRA,165
305,Grand Slam,40
306,The singles collection,13
307,Albedo 0.39,43
308,Dog & Butterfly,39
309,Tres Hombres,23
310,Ride 'Til I Die,15
311,Rhinos Winos and Lunatics,68
312,Wish You Were Here,130
313,New Worlds Fayre,100
314,Peer Gynt Suite,128
315,The Collection Vol 2 (Riding High),119
316,Nasty Reputation,16
317,Master Of Puppets,192
318,Hello!,29
319,Hair of the Dog,13
320,The Best Of The Early Years,86
321,Dire Straits,134
322,Spectres,114
323,The Very Best Of The Early Years 1968-74,119
324,The Best of,92
325,heavens to betsy,72
326,Stained Class,106
327,Keeper Of The Light [Live In Chicago],12
328,The Very Best of the Yardbirds,148
329,Welcome To My Nightmare,178
330,Budgie,18
331,Meddle,130
332,Come Taste The Band,196
333,Matchstickmen - The Pschedelic Years,29
334,P.X.R.5,28
335,The Devil You Know,185
336,Beautiful Garbage,194
337,Never for Ever,91
338,Surfer Rosa,22
339,Live Scenes From New York,32
340,Aladdin Sane,105
341,Lionheart,91
342,Silver Machine,28
343,BBC Sessions,64
344,Coda,64
345,Greatest Hits Vol. III,188
346,TYPE adamski,118
347,XS All Areas,29
348,Going To California,64
349,Those Whom,62
350,Chocolat,87
351,Dark Side Of The Moon,130
352,Metallica,192
353,Secret Treaties,114
354,I'm A Man,139
355,Ozzmosis,76
356,Libertad,136
357,The Magician's Birthday,82
358,The Eternal Idol,36
359,The Ballads IV,16
360,If I Were Brittannia I'd Waive The Rules,18
361,Un-led-ed,110
362,Captain Lockheed And The Starfighters,94
363,Hounds of Love,91
364,Zooma,187
365,Sabotage,36
366,Mama Said,117
367,Permanent Vacation,152
368,The Book Of Taliesyn,196
369,Tyranny And Mutation [2001 Remaster],114
370,The Very Best Of,47
371,Bartered Bride Overture,78
372,25 Years On,28
373,Collections,200
374,Relics,130
375,Houses of the Holy,64
376,Gunslinger,50
377,Diamond Dogs,105
378,Still Got The Blues,184
379,Remasters,64
380,From Dusk Till Dawn,31
381,Visions,88
382,Pump,152
383,Countdown to ecstasy,107
384,The Man Who Sold The World,105
385,Rearviewmirror,89
386,Running With The Dogs,63
387,Sloe Gin,132
388,Sunburst Finish,51
389,Katy Lied,107
390,Camel,97
391,Aerosmith,152
392,Degüello,23
393,Night Riding,96
394,Under The Influence,29
395,The Man Who Built America,113
396,In Through The Out Door,64
397,How the West Was Won,64
398,Zappa In New York,140
399,Greatest Hits,176
400,Trailer Park,98
401,Live! Bootleg,152
402,Squawk,18
403,Backtrackin',166
404,The Very Best Of Marc Bolan And T. Rex,197
405,Brothers,133
406,Big Ones,152
407,Technical Ecstasy,36
408,Snake Eyes,75
409,Presence,64
410,Demolition Ball,135
411,Get Your Wings,152
412,Powerslave,8
413,Cheaper Thrills,4
414,Wishbone Four,12
415,Tapestry,38
416,Rumours,92
417,Fallen,125
418,Chinese Democracy,169
419,Headless Cross,36
420,Seventh Son Of A Seventh Son,8
421,Burn,196
422,Greatest Hits,153
423,Troubadour,151
424,Atom Heart Mother,130
425,Ma Vlast,78
426,Tom Lehrer In Concert,99
427,Malpractice,37
428,High On The Hog,44
429,Bongo Fury,60
430,whip Jamboree,72
431,Transformer,45
432,Physical Graffiti,64
433,The Tain,113
434,Wild Obsession,16
435,Rising Force,179
436,Man From Another Time,175
437,Cross Road - The Best Of,54
438,The Division Bell,130
439,Attack & Release,133
